,uci_moves
61,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8
62,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 b8d7
63,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 b8d7 f3d2 a7a6 a2a4 f8e8
64,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 g1f3 e8g8
65,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 g1f3 e8g8 f1e2 f8e8
66,d2d4 c7c5 d4d5 e7e6 e2e4
67,d2d4 c7c5
68,d2d4 g8f6 c2c4 c7c5 d4d5 d7d6
69,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4
70,d2d4 g8f6 c2c4 c7c5 d4d5 e7e5 b1c3 d7d6 e2e4 g7g6
71,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 f3d2
72,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 e4e5
73,d2d4 g8f6 c2c4 c7c5
74,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6
75,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 f8d6
76,d2d4 c7c5 d4d5 f7f5
77,d2d4 c7c5 d4d5 d7d6
78,d2d4 c7c5 d4d5 e7e5
79,d2d4 c7c5 d4d5 e7e5 e2e4 d7d6
80,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4
81,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 e2e4 g7g6 f2f4 f8g7 f1b5
82,d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5 d7d6 g1f3 g7g6 c1g5
83,d2d4 c7c5 d4d5 g8f6 c2c4 f6e4
84,d2d4 g8f6 c2c4 c7c5 d4c5 e7e6
85,f2f4 d7d5
86,f2f4 e7e5
87,f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g7g5
88,f2f4
89,f2f4 d7d5 g1f3 g8f6 e2e3 c7c5
90,e2e4 e7e5 f1c4 g8f6
91,e2e4 e7e5 f1c4 g8f6 b1c3 f6e4
92,e2e4 e7e5 b1c3 g8f6 f1c4 f6e4 g1f3
93,e2e4 e7e5 f1c4 f8c5
94,e2e4 e7e5 f1c4
95,e2e4 e7e5 f1c4 g8f6 d2d4
96,e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 g1f3
97,e2e4 e7e5 f1c4 g8f6 d2d4 e5d4 g1f3 f6e4 d1d4
98,e2e4 e7e5 f1c4 g8f6 d2d3 b8c6 b1c3
99,e2e4 e7e5 f1c4 g8f6 d2d3 b8c6 b1c3 f8b4 g1e2
100,e2e4 e7e5 f1c4 g8f6 d2d3 f8c5 b1c3
101,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4e3
102,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 e7e6
103,d2d4 d7d5 e2e4 d5e4 b1c3 f7f5
104,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8g4
105,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 c8f5
106,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5
107,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 d5e6 f7e6 c4b5 d7d5
108,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 c1g5
109,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5
110,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 c1g5 e6d5 c4d5 h7h6
111,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 b4d2
112,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 b1d2
113,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 d8e7
114,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 b4e7
115,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 c7c5
116,d2d4 g8f6 c2c4 e7e6 g1f3 f8b4 c1d2 a7a5
117,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 g1f3
118,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4
119,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 e2e4 g4e5 f2f4 e5c6
120,d2d4 g8f6 c2c4 e7e5 d4e5 f6e4
121,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4
122,d2d4 g8f6 c2c4 e7e5 d4e5 f6g4 c1f4
123,e2e4 c7c6 c2c4
124,e2e4 c7c6 c2c4 d7d5
125,e2e4 c7c6 c2c4 d7d5 e4d5 c6d5 c4d5 g8f6
126,e2e4 c7c6 c2c4 e7e5
127,e2e4 c7c6 d2d4 d7d5 e4e5
128,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g2g4
129,e2e4 c7c6 d2d4 d7d5 e4e5 c6c5
130,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1e2
131,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 g1f3
132,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 h2h4
133,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b1c3
134,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b1c3 e7e6 g2g4 f5g6 g1e2 c6c5 h2h4
135,e2e4 c7c6 d2d4 d7d5 e4e5 c8f5 b1c3 d8b6
136,e2e4 c7c6 d2d3
137,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 g8f6 e4f6 g7f6
138,e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5
