,uci_moves
319,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e3 f8b4 d1c2 e8g8 c3d5 f8e8 c2f5
320,c2c4 e7e5 b1c3 b8c6 g1f3 g8f6 e2e3
321,c2c4 e7e5 b1c3 d7d6 g1f3
322,c2c4 e7e5
323,c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 a1b1
324,c2c4 e7e5 b1c3 f8b4
325,c2c4 e7e5 g1f3
326,c2c4 e7e5 g1f3 e5e4
327,c2c4 e7e5 b1c3 b8c6
328,c2c4 e7e5 b1c3
329,c2c4 e7e5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7
330,c2c4 e7e5 b1c3 b8c6 g1f3
331,c2c4 e7e5 b1c3 d7d6 g2g3 c8e6 f1g2 b8c6
332,c2c4 e7e5 b1c3 g8f6 g2g3
333,c2c4 e7e5 b1c3 g8f6 g2g3 g7g6
334,c2c4 e7e5 b1c3 g8f6
335,c2c4 e7e5 b1c3 g8f6 g2g3 c7c6
336,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5
337,c2c4 e7e5 b1c3 g8f6 g2g3 f8b4
338,c2c4 c7c5 g1f3 g8f6 d2d4
339,c2c4 c7c5 g1f3 g8f6 d2d4 c5d4 f3d4 e7e6 b1c3 b8c6 g2g3 d8b6
340,c2c4 c7c5 g1f3 g8f6 d2d4 c5d4 f3d4 e7e6
341,c2c4 c7c5 g1f3 g8f6 d2d4 c5d4 f3d4 e7e6 b1c3 b8c6
342,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 e7e5
343,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5
344,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e4
345,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 g8f6 e1g1 e8g8 d2d3
346,c2c4 c7c5 b1c3 g8f6 g2g3
347,c2c4 c7c5 b1c3 b8c6 g2g3
348,c2c4 c7c5 b1c3 b8c6 g1f3 g8f6
349,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 g8f6
350,c2c4 c7c5
351,c2c4 c7c5 g1f3 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 e7e6 b1c3 f8e7
352,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 g8f6 e1g1 e8g8 d2d4
353,c2c4 c7c5 b1c3
354,c2c4 c7c5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5c7
355,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7
356,c2c4 c7c5 b1c3 g8f6 g1f3 d7d5 c4d5 f6d5
357,c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3
358,c2c4 c7c5 b1c3 b8c6
359,e2e4 e7e5 c2c4
360,d2d4 e7e5 d4e5 b8c6 g1f3 d8e7
361,d2d4 e7e5
362,d2d4 e7e5 e2e3
363,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4
364,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6
365,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 a2a3
366,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b1c3 g8f6
367,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1c4
368,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1c4 f6e4 c4f7
369,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 b4c3 b2c3 d7d6 f1e1
370,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 b5c6
371,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 a7a6 b5c6
372,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4
373,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4
374,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 e5d4 c3d5
375,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 f8b4 f3e5
376,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 d2d4 f8b4 f3e5 d8e7
377,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5
378,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 b4c3
379,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8c5
380,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8c5 f3e5 c6d4 b5a4 e8g8
381,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 c6d4
382,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 c6d4 f3d4
383,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c1g5 b4c3 b2c3 d8e7 f1e1 c6d8 d3d4 c8g4
384,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c1g5 c6e7
385,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6
386,e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8 d2d3 d7d6 c3e2
387,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6
388,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3
389,e2e4 e7e6 d2d4 d7d5 e4e5
390,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 c8d7
391,e2e4 e7e6 d2d4 d7d5 e4e5 c8d7
392,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 a2a3 g8h6
393,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 a2a3
394,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3 d8b6 f1d3
395,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d1g4
396,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 d1g4 c5d4 g1f3
397,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3
398,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 b8c6 g1f3
399,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 g1f3 c5d4 f1d3
400,e2e4 e7e6 d2d4 d7d5 e4e5 c7c5 c2c3 d8b6 g1f3 c8d7
401,e2e4 e7e6 d2d4 d7d5 c1e3
402,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4
403,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 e7g5 h4g5 d8g5
404,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 c7c5
405,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 a7a6
406,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 h2h4 e8g8
407,e2e4 e7e6 d1e2
408,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 c3b5
409,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4
410,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 e7f6 g1f3 e8g8
411,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 d5e4 c3e4 f8e7 g5f6 g7f6
412,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4d5
413,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7
414,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7
415,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1g4
416,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6 e7f6 e4e5 f6e7 d1g4
417,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 g5f6
418,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 d1d2
419,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5
420,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6d7 g5e7 d8e7 f2f4
421,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 f1d3
422,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5 f6e4
423,e2e4 e7e6 d2d4 d7d5 e4d5
424,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 c2c4
425,e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 b1c3 g8f6 c1g5
426,e2e4 e7e6
427,e2e4 e7e6 b2b3
428,e2e4 e7e6 b2b3 d7d5 c1b2
429,e2e4 e7e6 d2d3
430,e2e4 e7e6 g1f3
431,e2e4 e7e6 f2f4
432,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4
433,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5h4
434,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 e5f6
435,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5c1
436,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5
437,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5e3
438,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3
439,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5 h7h6 g5d2 b4c3 b2c3 f6e4 d1g4 g7g6
440,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 g1e2
441,e2e4 e7e6 d2d4 g8f6
442,e2e4 e7e6 d2d4
443,e2e4 e7e6 d2d4 d7d5 b1c3
444,e2e4 e7e6 b1c3 d7d5 f2f4
445,e2e4 e7e6 b1c3
446,e2e4 e7e6 g2g3
447,e2e4 e7e6 d2d3 d7d5 b1d2 g8f6 g1f3 b8c6 f1e2
448,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4
449,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 b8d7
450,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 c8d7 g1f3 d7c6
451,e2e4 e7e6 d2d4 d7d5 b1c3 d5e4 c3e4 d8d5
452,e2e4 e7e6 d2d4 d7d5 f1d3
453,e2e4 e7e6 e4e5
454,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3
455,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 e4e5 f6d7 f2f4 c7c5 g1f3 b8c6 c1e3
456,e2e4 e7e6 d2d4 d7d5 b1d2
457,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b7b6
458,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5
459,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 d8d5 g1f3 c5d4 f1c4 d5d6 e1g1 g8f6 d2b3 b8c6 b3d4 c6d4 f3d4 a7a6
460,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6
461,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6
462,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4
463,e2e4 e7e6 d2d4 d7d5 b1d2 b8c6
464,e2e4 e7e6 d2d4 d7d5 b1d2 b8c6 g1f3 g8f6
465,e2e4 e7e6 d2d4 d7d5 b1d2 f7f5
466,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f1d3 c7c5 c2c3 b8c6 g1e2 c5d4 c3d4 d7b6
467,e2e4 e7e6 d2d4 d7d5 b1d2 a7a6
468,e2e4 e7e6 d2d4 d7d5 b1d2 f8e7
469,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5
470,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 c5c4
471,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3
472,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 e4d5 e6d5 g1f3 b8c6
473,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 c2c3
474,e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4
475,e2e4 e7e6 b1c3 d7d5 g1f3
476,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4
477,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3
478,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5
479,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7
480,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3
481,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 a3a4
482,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5
483,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 d1g4
484,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3
485,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2 d5e4 a2a3 b4c3 e2c3 b8c6
486,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 g1e2
487,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2
488,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 c1d2 g8e7 f2f4
489,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 d8c7
490,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5
491,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4d5 e6d5 f1d3 g8e7 d1h5
492,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2
493,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 d5e4 d1g4 d8d4
494,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 c1d2 d5e4 d1g4 g8f6 g4g7 h8g8 g7h6
495,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 c5d4 a3b4 d4c3
496,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 d8d7
497,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4
498,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 d8c7 g4g7 h8g8 g7h7 c5d4 g1e2
499,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 d1g4 d8c7 g4g7 h8g8 g7h7 c5d4 e1d1
500,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4c3 b2c3 g8e7 g1f3
501,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5 b2b4 c5d4
502,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3 b4a5
503,e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 a2a3
504,e2e4 e7e6 g1f3 d7d5 e4e5 c7c5 b2b4
505,g2g4
506,g2g4 d7d5 f1g2 c7c6
507,g2g4 d7d5 f1g2 c8g4 c2c4
508,g2g4 d7d5 h2h3 e7e5 f1g2 c7c6
509,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 d1b3 e7e6
510,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4
511,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8
512,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8 c4d5 f6d5 c3d5 d8d5 f4c7
513,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8 a1c1 c7c5 d4c5 c8e6
514,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8 a1c1
515,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c1f4 f8g7 e2e3 e8g8 a1c1 c7c5 d4c5 d8a5
516,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5
517,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4
518,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3
519,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 h2h3
520,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 g1f3 c7c5 a1b1 e8g8 f1e2 b8c6 d4d5 g7c3
521,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 c3a4
522,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 c7c5 e1g1 b8c6 c1e3 c8g4 f2f3 c6a5 c4f7
523,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 b8c6
524,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 c7c5 e1g1 b8c6 c1e3 c5d4 c3d4 c8g4 f2f3 c6a5 c4d3 g4e6 d4d5
525,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 c7c5 e1g1 b8c6 c1e3 c5d4 c3d4
526,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 c7c5
527,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4 d5c3 b2c3 f8g7 f1c4 e8g8 g1e2 c7c5 e1g1 b8c6 c1e3 c5d4 c3d4 c8g4 f2f3 c6a5 c4d3 g4e6
528,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 f1d3 c7c6 e1g1 c8f5
529,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1a4
530,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5
531,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 f2f3
532,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 b2b4
533,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 c1d2
534,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3
535,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 d1b3
536,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 b8c6
537,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 a7a6
538,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 b8a6
539,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c8g4
540,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c8g4 c1e3 f6d7 c4b3
541,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4 c7c6
542,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3 d5c4 b3c4 e8g8 e2e4
543,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 f1d3 c7c6 e1g1 c8g4
544,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7
545,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3
546,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 c7c5 f1e2 c5d4 e3d4 b8c6 e1g1 e8g8
547,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1f4
548,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1f4 e8g8 e2e3
549,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 f1d3
550,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 c1g5
551,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 e2e3 e8g8 d1b3
552,d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 h2h4
553,e2e4 e7e5 g1f3 d8e7
554,d2d4 e7e6
555,g2g3 d7d5 f1g2 e7e6
556,g2g3 f7f5
557,g2g3
558,g2g3 g8f6
559,g2g3 d7d5 f1g2 c7c5
560,g2g3 c7c5
561,g2g3 d7d5 f1g2 c7c6
562,g2g3 g7g6
563,d2d4 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 c7c5
564,d2d4 g8f6 c2c4 g7g6 d4d5
565,d2d4 g8f6 c2c4 g7g6 f2f3
566,d2d4 g8f6 c2c4 e7e6 g1f3
567,d2d4 g8f6 c2c4 e7e5
568,d2d4 g8f6 g1f3 g7g6 e2e3 f8g7 f1d3 d7d6
569,d2d4 g8f6 g1f3 c7c6
570,d2d4 g8f6 c2c4 e7e6 g1f3 a7a6
571,d2d4 g8f6
572,d2d4 g8f6 c2c4 g7g6
573,d2d4 g8f6 g1f3
574,d2d4 g8f6 g1f3 e7e6 c1f4
575,d2d4 g8f6 g1f3 g7g6 c1f4
576,d2d4 g8f6 c2c4
577,d2d4 g8f6 g1f3 b7b5
578,d2d4 g8f6 g1f3 g7g6 g2g3
579,d2d4 g8f6 g1f3 c7c5 d4d5 b7b5
580,d2d4 g8f6 g1f3 g7g6
581,d2d4 g8f6 g1f3 b7b6
582,d2d4 g8f6 c2c4 e7e6
583,d2d4 g8f6 b1c3 c7c5
584,d2d4 g8f6 c2c4 b7b6
585,d2d4 g8f6 c2c4 e7e6 c1g5
586,d2d4 g8f6 g1f3 c7c5
587,d2d4 g8f6 g2g3
588,d2d4 g8f6 g1f3 d7d6
589,d2d4 g8f6 g1f3 e7e6 e2e3
590,e2e4 e7e5 g1f3 b8c6 f1c4 h7h6
591,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 b2b4
592,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6
593,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 e1g1
594,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4
595,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 d8e7 d2d4 c5b6
596,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 d8e7
597,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 d7d6 d2d4 e5d4 c3d4 c5b6
598,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3
599,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3
600,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d3 a7a6 c4b3 c5a7 h2h3 e8g8 e1g1 d7d6 f1e1
601,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 e4e5 d7d5
602,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 e4e5 d7d5 c4b5 f6e4 c3d4 c5b4
603,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 f6e4 e1g1 e4c3
604,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 f6e4 e1g1 b4c3
605,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 e1g1
606,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4 c5b4 b1c3 f6e4 e1g1 b4c3 d4d5
607,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4 e5d4 c3d4
608,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d4
609,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4e7
610,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4e7 d2d4 c6a5
611,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b6
612,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5
613,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4c5 d2d4 e5d4 e1g1 d7d6 c3d4 c5b6
614,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5
615,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4 e1g1 g8e7
616,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 e5d4
617,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4d6
618,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3 b4a5 d2d4 d7d6 d1b3
619,e2e4 e7e5 g1f3 b8c6 f1c4
620,e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3
